,date,region,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,commentaires,annee,mois,new_region,old_region
0,2013-01-01,Basse Normandie,3331.0,3297.0,34.0,311.0,90.5671822869275,9.60128617363344,"Grand froid et épisode neigeux les semaines 3 et 4. Tension au niveau du personnel agent de conduite. Difficultés de circulation, conséquence de la mauvaise régularité des trains Intercités.",2013,1,Normandie,Basse Normandie
1,2013-01-01,Champagne Ardenne,6648.0,6595.0,53.0,334.0,94.93555724033358,18.74550898203593,"Conditions météorologiques dégradées du 15 au 21 janvier (froid, neige et verglas).",2013,1,Grand Est,Champagne Ardenne
2,2013-01-01,Lorraine,,,,,,,"Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.",2013,1,Grand Est,Lorraine
3,2013-02-01,Aquitaine,7926.0,7832.0,94.0,912.0,88.35546475995915,7.587719298245614,Inondations au sud de Dax du 11 au 13 février.,2013,2,Nouvelle Aquitaine,Aquitaine
4,2013-02-01,Nord Pas de Calais,17478.0,17228.0,250.0,1040.0,93.9633155328535,15.565384615384616,Intempéries mi-février.,2013,2,Hauts-de-France,Nord Pas de Calais
5,2013-02-01,Rhône Alpes,28215.0,27910.0,305.0,3771.0,86.48871372268005,6.401219835587377,Météo difficile et intrusions.,2013,2,Auvergne-Rhône-Alpes,Rhône Alpes
6,2013-03-01,Alsace,19138.0,18970.0,168.0,658.0,96.53136531365314,27.829787234042552,,2013,3,Grand Est,Alsace
7,2013-03-01,Aquitaine,8167.0,8081.0,86.0,822.0,89.82799158519985,8.830900243309003,Coup de froid sur l'ensemble de la région lors de la semaine 11.,2013,3,Nouvelle Aquitaine,Aquitaine
8,2013-03-01,Nord Pas de Calais,18744.0,17096.0,1648.0,1689.0,90.1204960224614,9.121965660153938,Intempéries les 12 et 13 mars.,2013,3,Hauts-de-France,Nord Pas de Calais
9,2013-03-01,Picardie,10440.0,10304.0,136.0,882.0,91.44021739130434,10.682539682539682,Fortes chutes de neige ayant entrainé des perturbations exceptionnelles (nombreuses suppressions non reprises dans les trains annulés suite au plan de transport adapté mis en place lors des intempéries du 12 au 17 mars).,2013,3,Hauts-de-France,Picardie
10,2013-03-01,Rhône Alpes,29670.0,29424.0,246.0,3644.0,87.61555193039695,7.074643249176729,Dérangements sur l'infrastructure.,2013,3,Auvergne-Rhône-Alpes,Rhône Alpes
11,2013-04-01,Champagne Ardenne,6219.0,6152.0,67.0,232.0,96.22886866059818,25.517241379310345,,2013,4,Grand Est,Champagne Ardenne
12,2013-04-01,Franche Comté,5655.0,5638.0,17.0,327.0,94.20007094714438,16.24159021406728,,2013,4,Bourgogne-Franche-Comté,Franche Comté
13,2013-04-01,Midi Pyrénées,8481.0,8378.0,103.0,576.0,93.12485079971354,13.54513888888889,,2013,4,Occitanie,Midi Pyrénées
14,2013-04-01,Picardie,10870.0,10819.0,51.0,657.0,93.92735003235047,15.467275494672757,,2013,4,Hauts-de-France,Picardie
15,2013-04-01,Rhône Alpes,25660.0,25326.0,334.0,3016.0,88.09128958382689,7.397214854111406,,2013,4,Auvergne-Rhône-Alpes,Rhône Alpes
16,2013-05-01,Bourgogne,7507.0,7429.0,78.0,806.0,89.15062592542738,8.21712158808933,Résultats ponctualité marqués par des limitations temporaires de vitesse. des inondations de voies suite aux pluies diluviennes et aléas divers.,2013,5,Bourgogne-Franche-Comté,Bourgogne
17,2013-05-01,Midi Pyrénées,8569.0,8454.0,115.0,605.0,92.8436243198486,12.973553719008263,,2013,5,Occitanie,Midi Pyrénées
18,2013-06-01,Bretagne,7901.0,7837.0,64.0,280.0,96.42720428735484,26.98928571428572,,2013,6,Bretagne,Bretagne
19,2013-06-01,Limousin,4003.0,3716.0,287.0,237.0,93.6221743810549,14.679324894514767,,2013,6,Nouvelle Aquitaine,Limousin
20,2013-06-01,Pays-de-la-Loire,9665.0,9217.0,448.0,574.0,93.77237712921774,15.057491289198609,73% des annulations sont liées à des mouvements sociaux.,2013,6,Pays de la Loire,Pays-de-la-Loire
21,2013-06-01,Lorraine,,,,,,,"Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.",2013,6,Grand Est,Lorraine
22,2013-07-01,Bretagne,7363.0,7299.0,64.0,483.0,93.38265515824084,14.111801242236025,Impact limitation de vitesse suite à fortes chaleurs et orages (en Bretagne et hors région).,2013,7,Bretagne,Bretagne
23,2013-07-01,Champagne Ardenne,6059.0,6000.0,59.0,381.0,93.65,14.748031496062993,"Episodes de fortes chaleurs et de violents orages ayant perturbé la circulation des trains (dérangements d'installations, limitations de vitesse localisées, chutes d'arbres sur les voies et les caténaires).",2013,7,Grand Est,Champagne Ardenne
24,2013-07-01,Midi Pyrénées,9627.0,9088.0,539.0,1029.0,88.67737676056338,7.831875607385811,Fortes chaleurs.,2013,7,Occitanie,Midi Pyrénées
25,2013-07-01,Nord Pas de Calais,15550.0,15313.0,237.0,1013.0,93.38470580552472,14.116485686080948,"Intempéries, orages.",2013,7,Hauts-de-France,Nord Pas de Calais
26,2013-08-01,Champagne Ardenne,5639.0,5623.0,16.0,288.0,94.8781789080562,18.52430555555556,Restrictions de vitesse sur certaines lignes suite aux fortes chaleurs et aux travaux sur la voie.,2013,8,Grand Est,Champagne Ardenne
27,2013-08-01,Franche Comté,4928.0,4906.0,22.0,282.0,94.25193640440276,16.397163120567377,,2013,8,Bourgogne-Franche-Comté,Franche Comté
28,2013-08-01,Languedoc Roussillon,5238.0,5173.0,65.0,484.0,90.64372704426832,9.68801652892562,Dérangements d'installations.,2013,8,Occitanie,Languedoc Roussillon
29,2013-08-01,Pays-de-la-Loire,9754.0,9663.0,91.0,583.0,93.96667701541963,15.574614065180103,,2013,8,Pays de la Loire,Pays-de-la-Loire
30,2013-09-01,Midi Pyrénées,7613.0,7448.0,165.0,605.0,91.87701396348012,11.310743801652892,"Actes de malveillance, dérangements des IS, intempéries et incident matériel en ligne.",2013,9,Occitanie,Midi Pyrénées
31,2013-10-01,Aquitaine,8728.0,8618.0,110.0,960.0,88.8605244836389,7.977083333333334,"Actes de malveillance (colis suspect à Bordeaux. incident caténaire), intrusion dans le tunnel de La Réole et limitations de vitesse.",2013,10,Nouvelle Aquitaine,Aquitaine
32,2013-10-01,Auvergne,6239.0,6145.0,94.0,715.0,88.36452400325467,7.594405594405594,Conditions météos et dérangement d'installations de sécurité.,2013,10,Auvergne-Rhône-Alpes,Auvergne
33,2013-10-01,Bourgogne,8123.0,7991.0,132.0,916.0,88.53710424227256,7.723799126637554,"""Mouvements sociaux (national et régional) ayant entrainé des annulations de trains - Ponctualité en retrait dont la cause est principalement liée aux limitations de vitesse imposées par le """"phénomène feuilles mortes"""" sur les rails.",2013,10,Bourgogne-Franche-Comté,Bourgogne
34,2013-10-01,Bretagne,8768.0,8705.0,63.0,766.0,91.20045950603102,10.364229765013055,"Les travaux entre Brest et Landerneau et entre Quimper et Lorient impactent de 2,5 points la régularité de l'activité TER Bretagne, 1 point d'irrégularité cause intempéries/enrayage. L'incident de Sillé Le Guillaume (heurt d'un camion par un TGV) entrainent une irrégularité de 1 point (correspondances TER).",2013,10,Bretagne,Bretagne
35,2013-01-01,Languedoc Roussillon,5024.0,4897.0,127.0,377.0,92.30140902593423,11.989389920424404,Chute de neige sur le littoral.,2013,1,Occitanie,Languedoc Roussillon
36,2013-10-01,Haute Normandie,6010.0,5942.0,68.0,370.0,93.77314035678222,15.05945945945946,Augmentation des causes externes et difficultés matériels.,2013,10,Normandie,Haute Normandie
37,2013-01-01,Midi Pyrénées,8208.0,7941.0,267.0,903.0,88.62863619191538,7.794019933554817,,2013,1,Occitanie,Midi Pyrénées
38,2013-10-01,Lorraine,,,,,,,"Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.",2013,10,Grand Est,Lorraine
39,2013-01-01,Provence Alpes Côte d'Azur,13956.0,13219.0,737.0,1816.0,86.26219835085861,6.279185022026431,,2013,1,Provence-Alpes-Côte d'Azur,Provence Alpes Côte d'Azur
40,2013-11-01,Basse Normandie,3098.0,2878.0,220.0,220.0,92.35580264072271,12.081818181818182,"Plan automnal sur Dreux/Granville, difficultés de circulations (notament dus aux feuilles mortes) et mouvement social du 12 suite agression d'un ASCT la veille.",2013,11,Normandie,Basse Normandie
41,2013-01-01,Rhône Alpes,31438.0,30779.0,659.0,3552.0,88.459664056662,7.665259009009009,,2013,1,Auvergne-Rhône-Alpes,Rhône Alpes
42,2013-11-01,Champagne Ardenne,6045.0,5488.0,557.0,521.0,90.50655976676384,9.53358925143954,"Nombreux patinages et enrayages de trains suite à la chute des feuilles mortes sur les rails, problèmes de disponibilité du matériel nécessitant la mise en œuvre de plans de transports adaptés, droit de retrait exercé du 6 au 8 par des contrôleurs champardennais suite à l'agression de l'un d'entre eux dans le train 839112 à Meaux le 6.",2013,11,Grand Est,Champagne Ardenne
43,2013-02-01,Alsace,18263.0,18097.0,166.0,771.0,95.73962535226832,22.472114137483786,Intempéries.,2013,2,Grand Est,Alsace
44,2013-11-01,Franche Comté,5475.0,5390.0,85.0,640.0,88.12615955473099,7.421875,,2013,11,Bourgogne-Franche-Comté,Franche Comté
45,2013-02-01,Franche Comté,5241.0,5174.0,67.0,522.0,89.91109393119443,8.911877394636015,,2013,2,Bourgogne-Franche-Comté,Franche Comté
